product_id,brand_name,price_usd,primary_category
P427415,The Ordinary,10.9,Skincare
P174502,CLINIQUE,37.0,Skincare
P439058,Tatcha,89.0,Skincare
P427420,The Ordinary,30.8,Skincare
P39274,Peter Thomas Roth,39.0,Skincare
P449599,Peter Thomas Roth,12.0,Skincare
P400259,Drunk Elephant,78.0,Skincare
P379510,Lancôme,132.0,Skincare
P443840,The INKEY List,10.99,Skincare
P54509,Lancôme,39.0,Skincare
P428250,Peace Out,19.0,Skincare
P447780,Tatcha,62.0,Skincare
P230538,Evian,17.0,Skincare
P443833,The INKEY List,11.99,Skincare
P429242,Shiseido,30.0,Skincare
P114902,Peter Thomas Roth,48.0,Skincare
P442566,Drunk Elephant,36.0,Skincare
P431848,OLEHENRIKSEN,41.0,Skincare
P453825,Lancôme,54.0,Skincare
P402718,Sunday Riley,72.0,Skincare
P447592,Dr. Dennis Gross Skincare,68.0,Skincare
P442594,SEPHORA COLLECTION,20.0,Skincare
P429515,Drunk Elephant,64.0,Skincare
P416563,Biossance,74.0,Skincare
P473322,OLEHENRIKSEN,60.0,Skincare
P415619,Dior,130.0,Skincare
P456392,innisfree,16.0,Skincare
P479327,Glow Recipe,39.0,Skincare
P500472,Glow Recipe,21.0,Skincare
P416815,OLEHENRIKSEN,33.0,Skincare
P482320,Supergoop!,22.0,Skincare
P460516,Glow Recipe,32.0,Skincare
P456418,KORRES,50.0,Skincare
P433435,IT Cosmetics,44.0,Skincare
P448203,Shiseido,64.0,Skincare
P470529,Glow Recipe,45.0,Skincare
P404338,Josie Maran,45.0,Skincare
P466155,Tatcha,89.0,Skincare
P503936,fresh,95.0,Skincare
P377533,Dr. Dennis Gross Skincare,92.0,Skincare
P416341,La Mer,380.0,Skincare
P426501,La Mer,100.0,Skincare
P122882,CLINIQUE,20.0,Skincare
P411539,Dr. Jart+,49.0,Skincare
P419222,Drunk Elephant,34.0,Skincare
P474938,Caudalie,52.0,Skincare
P458209,Farmacy,42.0,Skincare
P417936,fresh,46.0,Skincare
P415747,Sol de Janeiro,18.0,Skincare
P454018,Tatcha,49.0,Skincare
P482739,Shiseido,50.0,Skincare
P434360,Origins,52.0,Skincare
P462336,belif,38.0,Skincare
P467038,Peace Out,28.0,Skincare
P463036,Farmacy,48.0,Skincare
P404795,MILK MAKEUP,28.0,Skincare
P439055,Algenist,98.0,Skincare
P481989,Glow Recipe,35.0,Skincare
P427413,The Ordinary,8.9,Skincare
P203616,REN Clean Skincare,58.0,Skincare
P466142,OLEHENRIKSEN,35.0,Skincare
P446421,Origins,40.0,Skincare
P439926,Drunk Elephant,74.0,Skincare
P445827,fresh,33.0,Skincare
P422430,Lancôme,48.0,Skincare
P471535,belif,45.0,Skincare
P434545,OLEHENRIKSEN,60.0,Skincare
P428095,REN Clean Skincare,40.0,Skincare
P465368,REN Clean Skincare,22.0,Skincare
P442858,fresh,29.0,Skincare
P423148,Dermalogica,49.0,Skincare
P443350,Dermalogica,15.0,Skincare
P453225,Tatcha,29.0,Skincare
P3617,Peter Thomas Roth,52.0,Skincare
P474953,GUERLAIN,145.0,Skincare
P476513,GUERLAIN,55.0,Skincare
P468658,innisfree,16.0,Skincare
P377570,Josie Maran,28.0,Skincare
P456208,goop,125.0,Skincare
P459301,goop,45.0,Skincare
P122718,CLINIQUE,26.0,Skincare
P482742,Shiseido,38.0,Skincare
P427397,Dr. Brandt Skincare,54.0,Skincare
P469502,Paula's Choice,34.0,Skincare
P448937,Sunday Riley,65.0,Skincare
P421998,Kiehl's Since 1851,56.0,Skincare
P445951,Kiehl's Since 1851,30.0,Skincare
P434336,KORA Organics,28.0,Skincare
P421277,Algenist,115.0,Skincare
P455936,Summer Fridays,24.0,Skincare
P405096,tarte,12.0,Skincare
P500777,fresh,25.0,Skincare
P467602,Algenist,68.0,Skincare
P379064,Clarins,65.0,Skincare
P474843,Lancôme,150.0,Skincare
P422003,Kiehl's Since 1851,59.0,Skincare
P473126,Paula's Choice,52.0,Skincare
P442989,tarte,42.0,Skincare
P302900,CLINIQUE,53.0,Skincare
P469528,Paula's Choice,42.0,Skincare
P385262,Shiseido,40.0,Skincare
P385773,Dr. Dennis Gross Skincare,72.0,Skincare
P410883,Peter Thomas Roth,39.0,Skincare
P429637,La Mer,200.0,Skincare
P500778,HABIT,30.0,Skincare
P483128,Dr. Zenovia Skincare,48.0,Skincare
P480278,Biossance,35.0,Skincare
P450211,fresh,28.0,Skincare
P423157,Moon Juice,38.0,Skincare
P446630,PMD,179.0,Skincare
P379709,Tata Harper,130.0,Skincare
P439672,SEPHORA COLLECTION,22.0,Skincare
P386755,HUM Nutrition,40.0,Skincare
P413613,Dr. Dennis Gross Skincare,159.0,Skincare
P440658,Drunk Elephant,22.0,Skincare
P447200,tarte,39.0,Skincare
P504277,Kate McLeod,68.0,Skincare
P469524,Paula's Choice,37.0,Skincare
P395389,GLO Science,65.0,Skincare
P500002,JLo Beauty,64.0,Skincare
P410756,SK-II,245.0,Skincare
P451748,SOBEL SKIN Rx,75.0,Skincare
P476733,Supergoop!,38.0,Skincare
P476683,FaceGym,75.0,Skincare
P397622,Dr. Jart+,7.0,Skincare
P411881,Kate Somerville,98.0,Skincare
P482696,LANEIGE,43.0,Skincare
P471097,Shani Darden Skin Care,399.0,Skincare
P408301,Tata Harper,75.0,Skincare
P447199,TAN-LUXE,49.0,Skincare
P394702,Origins,58.0,Skincare
P503920,Shani Darden Skin Care,125.0,Skincare
P502986,SEPHORA COLLECTION,22.0,Skincare
P470240,OLEHENRIKSEN,56.0,Skincare
P474844,Lancôme,135.0,Skincare
P440933,Origins,17.0,Skincare
P500318,JLo Beauty,58.0,Skincare
P482025,Lancôme,270.0,Skincare
P440483,Mario Badescu,7.0,Skincare
P484081,TULA Skincare,56.0,Skincare
P473148,Naturally Serious,27.0,Skincare
P453818,Algenist,58.0,Skincare
P377178,Murad,89.0,Skincare
P476726,REN Clean Skincare,38.0,Skincare
P398502,PMD,199.0,Skincare
P429522,Kiehl's Since 1851,68.0,Skincare
P504506,Tatcha,98.0,Skincare
P505211,Supergoop!,36.0,Skincare
P444967,Mario Badescu,5.0,Skincare
P483700,The Outset,42.0,Skincare
P433519,Charlotte Tilbury,145.0,Skincare
P471041,iNNBEAUTY PROJECT,28.0,Skincare
P470535,Kate Somerville,98.0,Skincare
P464242,Dr. Zenovia Skincare,72.0,Skincare
P442854,Dr. Jart+,20.0,Skincare
P455212,SEPHORA COLLECTION,12.0,Skincare
P436365,Kate Somerville,110.0,Skincare
P392143,Tata Harper,75.0,Skincare
P399755,GLO Science,49.0,Skincare
P444614,Isle of Paradise,32.0,Skincare
P468850,ROSE Ingleton MD,85.0,Skincare
P502997,Peace Out,34.0,Skincare
P416344,La Mer,95.0,Skincare
P502046,Origins,36.0,Skincare
P500113,Community Sixty-Six,16.0,Skincare
P442859,Algenist,38.0,Skincare
P392472,CLINIQUE,23.5,Skincare
P504637,Hourglass,110.0,Skincare
P460554,SEPHORA COLLECTION,17.0,Skincare
P503927,Dr. Dennis Gross Skincare,12.0,Skincare
P380027,Estée Lauder,30.0,Skincare
P433975,Naturally Serious,26.0,Skincare
P388262,Algenist,74.0,Skincare
P500109,Community Sixty-Six,18.0,Skincare
P448537,The INKEY List,12.99,Skincare
P407040,CLINIQUE,52.0,Skincare
P446916,Skinfix,35.0,Skincare
P474110,StriVectin,72.0,Skincare
P461936,FOREO,219.0,Skincare
P446638,Dermalogica,19.0,Skincare
P412117,Kate Somerville,56.0,Skincare
P469196,SEPHORA COLLECTION,10.0,Skincare
P504325,Glow Recipe,52.0,Skincare
P449102,INC.redible,12.0,Skincare
P397465,Rosebud Perfume Co.,8.0,Skincare
P483698,The Outset,44.0,Skincare
P471761,Drunk Elephant,28.0,Skincare
P483661,Herbivore,62.0,Skincare
P501166,Dr. Dennis Gross Skincare,72.0,Skincare
P483696,The Outset,32.0,Skincare
P503991,MARA,72.0,Skincare
P504026,MARA,40.0,Skincare
P503878,OLEHENRIKSEN,22.0,Skincare
